t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19
1.000000000000000056e-01,2.368352618688392419e-01,9.385638835654478429e-01,1.332766063229370079e+00,-4.799788399010804785e-01,7.433230848555910653e-01,-2.365997471603965563e-01,-7.409556321317434247e-02,-9.546017017425954820e-02,-1.691138304072172666e-02,1.035124873120038647e+00,1.015360839045431757e-01,-1.579123814489988009e-01,-2.680012681837876110e-01,3.080462781335949196e-01,-8.121220940710376368e-01,-4.642950517655887732e-01,-6.455232955111660231e-02,-5.186414600960271848e-01,-1.257100923335212617e-01,-5.574266314965304892e-01
1.100000000000000006e-01,2.360615614215045288e-01,9.344578260361562361e-01,1.327368409173261821e+00,-4.786340300355063082e-01,7.402542248191051888e-01,-2.368469358845634865e-01,-7.470379535484743261e-02,-9.604592896816400993e-02,-1.755561349161694276e-02,1.030625010985749324e+00,1.008661675272603808e-01,-1.583938781445158039e-01,-2.681176722919632605e-01,3.071330764909125932e-01,-8.076508238847330823e-01,-4.630892156548434557e-01,-6.516880521159783279e-02,-5.169388426827822292e-01,-1.262531872951614953e-01,-5.553479254665515397e-01
1.199999999999999956e-01,2.356344240065809392e-01,9.310918416314504231e-01,1.322250700321697892e+00,-4.777314882826246834e-01,7.379721623104542605e-01,-2.371764956128035728e-01,-7.520931823181564724e-02,-9.654990599073919044e-02,-1.804557137536969003e-02,1.026757140034956883e+00,1.004426013181771576e-01,-1.588605848037998869e-01,-2.683589701241501646e-01,3.066251165901794917e-01,-8.039525629707323651e-01,-4.623020091361905171e-01,-6.567353132482912914e-02,-5.157353513991232985e-01,-1.267458385285298306e-01,-5.538224872633352724e-01
1.300000000000000044e-01,2.353259886352643548e-01,9.279894746102669290e-01,1.317266494604393934e+00,-4.769804735035750864e-01,7.359590045546143822e-01,-2.375334051639592658e-01,-7.567995817783729207e-02,-9.702610744107983964e-02,-1.848300134680726237e-02,1.023124423628201773e+00,1.001034266027012870e-01,-1.593221008484942691e-01,-2.686418761417389556e-01,3.062555347039603304e-01,-8.005343626535860180e-01,-4.616578140773872629e-01,-6.614029491178462228e-02,-5.147041652287929203e-01,-1.272213065017221145e-01,-5.524895687796040900e-01
1.400000000000000133e-01,2.353823638096485538e-01,9.256558384172933751e-01,1.312745812989120298e+00,-4.766724184630218297e-01,7.347229710252171087e-01,-2.379748285345470449e-01,-7.604337993476306679e-02,-9.741721781787185397e-02,-1.875822139745716294e-02,1.020191843717535463e+00,1.000252794152445557e-01,-1.597685518135282257e-01,-2.690522718314501960e-01,3.063082679547193821e-01,-7.979221124703754775e-01,-4.614330873645103859e-01,-6.649024542758312506e-02,-5.141727485110162421e-01,-1.276445925493116251e-01,-5.517111578067908084e-01
1.499999999999999944e-01,2.360751111345501252e-01,9.246327731308243703e-01,1.309300067768244258e+00,-4.771086477672783488e-01,7.347602186064390306e-01,-2.385579030587914318e-01,-7.621957965340712959e-02,-9.765957564306891603e-02,-1.874996865649098884e-02,1.018516039718869504e+00,1.004048380559149911e-01,-1.601870290082660631e-01,-2.696769437096390720e-01,3.070916608074797938e-01,-7.967197568110748751e-01,-4.619129837581246734e-01,-6.663624523868535987e-02,-5.144820469631916637e-01,-1.279760634126838048e-01,-5.518673752401986876e-01
1.600000000000000033e-01,2.369006067006642346e-01,9.238807153432174735e-01,1.306117402475916567e+00,-4.776948789134073947e-01,7.350495995483671274e-01,-2.391710569717551971e-01,-7.635818516447534510e-02,-9.787245785761489181e-02,-1.868358951487673197e-02,1.017112499810669757e+00,1.008800041628074712e-01,-1.606011548170377945e-01,-2.703462022638953299e-01,3.080263221835660703e-01,-7.958161821888799503e-01,-4.625348406639975263e-01,-6.674110361904331268e-02,-5.149611433276495287e-01,-1.282899717892522773e-01,-5.522130780734121336e-01
1.700000000000000122e-01,2.381317140018981982e-01,9.239335336334227877e-01,1.303770703413643650e+00,-4.787406879056650411e-01,7.360928169243399211e-01,-2.398765696995733276e-01,-7.638317835253490007e-02,-9.799635264408071422e-02,-1.844127392431563553e-02,1.016519827974006418e+00,1.016457299447799945e-01,-1.610025946159172328e-01,-2.711522574531063379e-01,3.094237629061481476e-01,-7.958189173462570931e-01,-4.635918489091679362e-01,-6.672159019681900283e-02,-5.159596960838407353e-01,-1.285510457119179439e-01,-5.531374113149766236e-01
1.799999999999999933e-01,2.400722582258482674e-01,9.253241603226369794e-01,1.302988135649989943e+00,-4.805817869201380321e-01,7.383831163793203034e-01,-2.407585485083360843e-01,-7.622806095662494619e-02,-9.798358136157801768e-02,-1.790764667498847759e-02,1.017302191167872794e+00,1.029115064112903349e-01,-1.614004063415085954e-01,-2.722102138241601077e-01,3.116307050545468749e-01,-7.973926276438916272e-01,-4.654029962475561000e-01,-6.650289813351961676e-02,-5.178546487863489034e-01,-1.287387687655590363e-01,-5.550585085592921741e-01
1.900000000000000022e-01,2.421675932701473077e-01,9.269720276130432035e-01,1.302539491430406260e+00,-4.825906393781282944e-01,7.409145552140175006e-01,-2.416855419078950407e-01,-7.603860367071337001e-02,-9.794646617018841483e-02,-1.731384811839906113e-02,1.018354925267491051e+00,1.042859302225146445e-01,-1.618039767376891203e-01,-2.733290806553989594e-01,3.140126671804325253e-01,-7.992843388211656741e-01,-4.673741254865472206e-01,-6.624545845126188215e-02,-5.199363707606855511e-01,-1.289165789195108602e-01,-5.571852213557451083e-01
